"Sample Date","Facility","Species","Salvage","Acrefeet"
2015-05-02,CVP,26,0,1606
2018-03-23,SWP,26,0,7523
1998-01-03,SWP,26,0,13920
2004-05-21,SWP,26,162,1000
1995-02-13,CVP,26,0,8181
2003-06-18,CVP,26,12,8666
2015-08-03,CVP,26,0,606
2004-04-23,CVP,26,0,1136
2008-05-06,SWP,26,0,1090
2001-08-31,SWP,26,0,5973
2014-12-11,CVP,26,0,4980
2021-03-26,CVP,26,0,1640
2008-05-09,CVP,26,32,1673
2006-06-14,SWP,26,0,6959
2012-11-27,SWP,26,0,8691
1994-10-28,SWP,26,0,6682
2009-11-06,SWP,26,NS,0
2020-02-12,CVP,26,0,3659
2017-07-16,SWP,26,0,13580
2016-02-15,CVP,26,0,6756
1995-04-07,CVP,26,0,5732
1999-04-23,SWP,26,0,4646
2002-12-19,CVP,26,24,7491
2007-04-24,CVP,26,0,1987
2006-12-18,SWP,26,0,14788
2002-03-01,CVP,26,12,7921
2005-04-01,CVP,26,0,3962
1995-04-27,CVP,26,0,7316
1998-05-20,CVP,26,0,5653
2020-08-24,CVP,26,0,8519
1997-03-23,CVP,26,48,9021
2015-07-27,CVP,26,0,603
2017-04-14,CVP,26,0,7430
2016-10-26,SWP,26,0,5716
1994-03-07,SWP,26,4,4800
1999-03-05,SWP,26,12,7806
1998-12-13,SWP,26,0,3872
2017-06-22,CVP,26,0,8758
2010-10-23,CVP,26,0,8160
2017-07-26,SWP,26,0,13661
2005-12-09,SWP,26,0,13069
1998-07-11,SWP,26,0,8423
2007-12-20,SWP,26,0,6741
2001-06-28,CVP,26,0,6685
1994-04-29,CVP,26,228,3308
2015-02-05,CVP,26,0,1973
2005-03-23,CVP,26,0,6184
2000-04-28,CVP,26,264,1728
2006-10-24,SWP,26,0,10135
2006-09-14,SWP,26,0,14920
1997-03-17,CVP,26,12,8750
2001-12-26,CVP,26,24,8066
1994-10-04,CVP,26,0,7520
2018-02-22,CVP,26,0,1731
2022-04-03,SWP,26,0,821
2004-04-08,SWP,26,0,4030
2020-11-27,CVP,26,0,1958
2018-07-01,SWP,26,0,496
2018-12-14,SWP,26,0,2882
1996-05-31,SWP,26,372,12048
2019-01-25,CVP,26,0,6895
2012-09-23,CVP,26,0,6980
1998-06-07,CVP,26,0,3988
2010-09-30,CVP,26,0,8218
1996-09-10,SWP,26,0,4830
2002-11-14,CVP,26,0,8476
2016-05-29,SWP,26,0,2711
2017-01-05,SWP,26,0,6260
2020-09-26,CVP,26,0,8484
2004-04-18,CVP,26,0,2840
2009-08-03,SWP,26,0,9558
2010-09-12,CVP,26,0,8163
1995-05-06,SWP,26,0,2250
2016-01-25,CVP,26,0,4947
2011-08-05,SWP,26,0,15097
2004-04-16,SWP,26,0,2920
1996-07-12,SWP,26,0,12585
2018-11-14,CVP,26,0,3949
2008-06-19,SWP,26,8,1009
2016-06-02,CVP,26,0,1593
