Year,Month,Date,AMR,BRCR,CALR,CSMR,DRCR,FCSL,GCD,MISDV,MOKE,SACV,SACVDIV,SFS4,SJR,SPCR,SWS,YOLL,YOLSW,XGEO1,EFFECT1,PREC,YOLO1,MISC,SAC,CD,EAST,TOT1,WEST1,RIO1,OUT1,DIVER1,EFFDIV1
1929,10,10/1/1929,100,0,0,1,0,0,1744,0,5.5,5020,24.2,0,1390,0,0,0,0,1507,5760,0,0,0,5096,1744,1397,6493,1770,3101,4749,27,18
1929,10,10/2/1929,100,0,0,1,0,0,1703,0,5.5,5020,24.2,0,1490,0,0,0,0,1507,5877,0,0,0,5096,1703,1497,6593,1897,3112,4890,26,17
1929,10,10/3/1929,100,0,0,1,0,0,1663,0,5.5,5020,24.2,0,1540,0,0,0,0,1507,5944,0,0,0,5096,1663,1547,6643,1973,3123,4980,25,16
1929,10,10/4/1929,100,0,0,1.6,0,0,1663,0,5,5150,24.2,0,1490,0,0,0,0,1524,6024,0,0,0,5226,1663,1497,6723,1940,3236,5060,25,16
1929,10,10/5/1929,100,0,0,2.5,0,0,1622,0,5,5280,24.2,0,1540,0,0,0,0,1541,6222,0,0,0,5356,1622,1548,6904,2035,3361,5282,23,15
1929,10,10/6/1929,100,0,0,2.5,0,0,1622,0,5,5410,24.2,0,1540,0,0,0,0,1559,6352,0,0,0,5486,1622,1548,7034,2053,3473,5412,23,15
1929,10,10/7/1929,100,0,0,2.5,0,0,1582,0,5,5410,24.2,0.06,1540,0,0,0,0,1559,6513,344,0,0,5486,1238,1548,7034,2302,3580,5796,18,11
1929,10,10/8/1929,100,0,0,2.5,0,0,1582,0,4.9,5410,24.2,0,1490,0,0,0,0,1559,6463,344,0,0,5486,1238,1497,6983,2251,3580,5745,18,11
1929,10,10/9/1929,100,0,0,2.5,0,0,1582,0,4.8,5670,24.2,0,1440,0,0,0,0,1593,6673,344,0,0,5746,1238,1447,7193,2235,3806,5955,17,11
1929,10,10/10/1929,100,0,0,5,0,0,1541,0,4.8,5800,24.2,0,1440,0,0,0,0,1610,6823,344,0,0,5876,1197,1450,7326,2282,3931,6129,16,10
1929,10,10/11/1929,100,0,0,5,0,0,1541,0,4.8,5670,24.2,0,1340,0,0,0,0,1593,6593,344,0,0,5746,1197,1350,7096,2165,3818,5899,17,11
1929,10,10/12/1929,100,0,0,5,0,0,1541,0,4.8,5670,24.2,0,1290,0,0,0,0,1593,6398,0,0,0,5746,1541,1300,7046,1891,3722,5505,22,14
1929,10,10/13/1929,100,0,0,5,0,0,1541,0,4.6,5670,24.2,0,1290,0,0,0,0,1593,6398,0,0,0,5746,1541,1300,7046,1891,3722,5505,22,14
